City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yerofey pavlovich,53.9667,121.9667,240.92,94,11,1.37,RU,1702254109
84,new yekepa,7.5794,-8.5378,293.74,38,64,0.53,LR,1702254110
85,kodiak,57.79,-152.4072,278.88,87,100,8.75,US,1702254112
86,haiku-pauwela,20.9219,-156.3051,304.16,57,40,7.2,US,1702254099
87,anadyr,64.75,177.4833,247.59,75,20,5.0,RU,1702253826
88,arraial do cabo,-22.9661,-42.0278,296.36,78,100,3.33,BR,1702253839
89,newman,37.3138,-121.0208,289.28,59,100,1.34,US,1702254117
90,saipan,15.1355,145.701,302.54,74,20,6.17,MP,1702254118
91,aripuana,-9.1667,-60.6333,297.94,88,94,0.93,BR,1702254120
92,yellowknife,62.456,-114.3525,260.44,92,100,9.26,CA,1702254121
93,uturoa,-16.7333,-151.4333,300.2,80,35,9.97,PF,1702254123
94,belyy yar,53.6039,91.3903,240.09,75,79,0.0,RU,1702254124
95,whitehorse,60.7161,-135.0538,259.58,83,100,1.54,CA,1702253982
96,pisco,-13.7,-76.2167,294.18,78,0,6.17,PE,1702253894
97,mar del plata,-38.0023,-57.5575,293.76,89,0,3.09,AR,1702254128
98,axim,4.8699,-2.2405,299.59,84,43,3.06,GH,1702254131
99,artvin,41.1667,41.8333,279.88,85,70,2.19,TR,1702254134
100,tazovsky,67.4667,78.7,247.47,97,100,4.56,RU,1702254136
101,chernomorskoye,45.5039,32.6997,279.46,87,100,1.05,UA,1702254137
102,la ronge,55.1001,-105.2842,269.29,74,100,3.6,CA,1702254139
103,kourou,5.1552,-52.6478,300.18,89,20,2.63,GF,1702254140
104,portage,41.1667,-81.1998,275.74,77,100,2.57,US,1702254142
105,lichinga,-13.3128,35.2406,292.2,94,0,4.63,MZ,1702254143
106,ilulissat,69.2167,-51.1,271.16,74,100,6.17,GL,1702254101
107,tekkali,18.6167,84.2333,293.01,81,6,2.27,IN,1702254148
108,klyuchi,52.2667,79.1667,251.55,88,19,2.63,RU,1702253874
109,motygino,58.1831,94.7592,237.47,99,27,1.79,RU,1702254151
110,ushuaia,-54.8,-68.3,280.96,49,0,5.66,AR,1702254152
111,hermanus,-34.4187,19.2345,289.4,81,0,4.21,ZA,1702254154
112,ust-nera,64.5667,143.2,253.13,98,100,4.09,RU,1702254064
113,mount gambier,-37.8333,140.7667,288.77,93,100,5.77,AU,1702253982
114,qaqortoq,60.7167,-46.0333,263.37,75,65,2.39,GL,1702254158
115,vorgashor,67.5833,63.95,248.38,100,100,3.39,RU,1702254159
116,ribeira grande,38.5167,-28.7,290.8,75,63,8.94,PT,1702254160
117,manta,-0.95,-80.7333,300.03,69,40,5.14,EC,1702254162
118,qamdo,31.1667,97.2333,262.69,73,5,2.1,CN,1702254163
119,hadibu,12.65,54.0333,297.51,72,26,4.85,YE,1702254113
120,taulaga,-11.0553,-171.0883,301.41,78,100,6.82,AS,1702254166
121,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,95,100,6.71,RU,1702254167
122,wailua homesteads,22.0669,-159.378,299.59,76,20,4.12,US,1702254169
123,achinsk,56.2694,90.4993,236.59,100,36,1.34,RU,1702254170
124,ribeira brava,32.65,-17.0667,294.1,83,72,1.21,PT,1702254172
125,lobito,-12.3481,13.5456,299.2,84,94,1.99,AO,1702254173
126,ha'il,27.5219,41.6907,288.16,41,0,2.06,SA,1702253976
127,linxia chengguanzhen,35.6003,103.2064,271.49,60,81,0.39,CN,1702254175
128,sitka,57.0531,-135.33,277.09,81,75,3.6,US,1702254168
129,vilyuchinsk,52.9306,158.4028,274.3,97,100,1.75,RU,1702254101
130,coronel dorrego,-38.7187,-61.2873,295.56,27,10,6.5,AR,1702254179
131,howrah,22.5892,88.3103,288.15,88,0,0.0,IN,1702254181
132,mutsu,41.2894,141.2169,275.44,62,89,6.58,JP,1702254182
133,kelibia,36.8476,11.0939,291.29,82,20,4.12,TN,1702254183
134,happy valley-goose bay,53.3168,-60.3315,276.32,65,100,7.2,CA,1702254184
135,chibougamau,49.9168,-74.3659,269.94,93,100,3.09,CA,1702254186
136,san antonio de pale,-1.4014,5.6325,300.58,79,100,5.64,GQ,1702254187
137,madang,-5.2246,145.7966,302.73,68,73,4.4,PG,1702254188
138,thompson,55.7435,-97.8558,257.24,92,100,2.06,CA,1702253897
139,yemva,62.59,50.8594,250.07,96,100,3.02,RU,1702254191
140,la'ie,21.6477,-157.9253,302.81,71,14,2.24,US,1702254105
141,bandiagara,14.3501,-3.6104,295.3,15,10,3.67,ML,1702254194
142,balabac,7.9868,117.0645,301.21,78,73,6.14,PH,1702254195
143,kulhudhuffushi,6.6221,73.07,301.22,78,68,5.02,MV,1702254196
144,salinopolis,-0.6136,-47.3561,300.14,81,29,5.21,BR,1702254198
145,abadan,30.3392,48.3043,288.12,88,100,1.03,IR,1702254199
146,ancud,-41.8697,-73.8203,286.27,83,96,2.92,CL,1702254128
147,dasha,23.11,113.4444,295.14,86,4,0.93,CN,1702254202
148,port lincoln,-34.7333,135.8667,290.23,94,100,7.25,AU,1702254203
149,barcelos,41.5388,-8.6151,290.23,93,100,3.64,PT,1702254205
150,port shepstone,-30.7414,30.455,292.36,83,100,3.11,ZA,1702254206
151,fort bragg,35.139,-79.006,292.49,93,100,3.6,US,1702254207
152,qui nhon,13.7667,109.2333,296.14,85,38,1.93,VN,1702254209
153,tabuk,17.4189,121.4443,298.19,77,26,0.82,PH,1702254210
154,keflavik,64.0049,-22.5624,274.39,100,100,4.63,IS,1702254211
155,hotan,37.0997,79.9269,273.18,35,72,3.54,CN,1702254180
156,shumikha,55.2261,63.2961,242.97,95,21,3.82,RU,1702254214
157,yunyang,33.4474,112.7142,271.31,91,98,5.71,CN,1702254215
158,biga,40.2281,27.2422,282.07,91,82,1.14,TR,1702254217
159,aasiaat,68.7098,-52.8699,269.07,92,100,6.49,GL,1702254218
160,tiksi,71.6872,128.8694,247.88,100,100,2.11,RU,1702254219
161,rabigh,22.7986,39.0349,299.71,59,99,0.82,SA,1702254221
162,porto velho,-8.7619,-63.9039,300.18,89,20,0.0,BR,1702254222
163,crane,31.3974,-102.3501,282.56,23,2,2.27,US,1702254223
164,praia,14.9215,-23.5087,297.45,73,20,5.14,CV,1702254226
165,puerto ayora,-0.7393,-90.3518,297.37,86,48,3.56,EC,1702254227
166,durres,41.3231,19.4414,276.25,72,70,4.27,AL,1702254228
167,inarajan village,13.2736,144.7484,303.23,83,79,6.8,GU,1702254230
168,fontaine-les-dijon,47.3424,5.0201,281.71,93,100,4.63,FR,1702254231
169,brookings,44.3114,-96.7984,270.15,85,0,1.54,US,1702253945
170,new norfolk,-42.7826,147.0587,294.66,30,92,1.11,AU,1702254234
171,annandale,38.8304,-77.1964,285.43,89,100,9.26,US,1702254235
172,wotho,10.1657,166.0102,300.18,80,98,8.1,MH,1702254236
173,udachny,66.4167,112.4,243.95,82,100,5.54,RU,1702254238
174,kruisfontein,-34.0033,24.7314,286.42,92,3,1.33,ZA,1702254239
175,tralee,52.2704,-9.7026,282.5,88,58,6.69,IE,1702254240
176,carnarvon,-24.8667,113.6333,301.09,23,0,9.8,AU,1702254242
177,atafu village,-8.5421,-172.5159,301.94,75,93,5.79,TK,1702254243
178,talnakh,69.4865,88.3972,247.15,99,100,4.22,RU,1702254244
179,ujae,8.9322,165.7642,300.76,78,100,7.66,MH,1702254246
180,marsabit,2.3284,37.9899,293.73,61,41,5.48,KE,1702254247
181,saint-philippe,-21.3585,55.7679,296.92,85,79,5.06,RE,1702254248
182,constantia,44.1833,28.65,273.54,85,50,4.18,RO,1702254250
183,broome,42.2506,-75.833,279.1,95,100,5.14,US,1702254251
184,punta arenas,-53.15,-70.9167,282.21,61,0,3.09,CL,1702254195
185,west island,-12.1568,96.8225,299.14,78,40,4.63,CC,1702254254
186,marquette,46.5333,-87.6335,269.72,82,88,3.58,US,1702254256
187,bei'an,24.5399,109.533,294.55,87,90,0.69,CN,1702254258
188,remire-montjoly,4.9167,-52.2667,300.17,83,20,1.03,GF,1702254105
189,suomussalmi,64.8869,28.9078,259.58,96,99,2.72,FI,1702254262
190,el tigre,8.8875,-64.2454,299.46,68,68,4.13,VE,1702254263
191,kingston,17.997,-76.7936,299.95,84,8,2.07,JM,1702253533
192,palikir - national government center,6.9248,158.1611,304.62,66,100,4.12,FM,1702254266
193,vodnyy,63.5046,53.4095,242.27,98,100,2.03,RU,1702254267
194,tobelo,1.7284,128.0095,301.27,77,62,1.14,ID,1702254269
195,porto franco,-6.3383,-47.3992,296.77,93,98,0.61,BR,1702254270
196,queenstown,-31.8976,26.8753,284.44,91,100,1.23,ZA,1702254271
197,sur,22.5667,59.5289,295.59,55,10,1.28,OM,1702254272
198,brokopondo,4.75,-55.1667,299.7,81,94,3.37,SR,1702254274
199,parun,35.4207,70.9221,268.92,20,49,4.15,AF,1702254276
200,quellon,-43.1167,-73.6167,286.32,83,99,2.42,CL,1702254277
201,kivertsi,50.8343,25.4582,272.12,96,100,4.66,UA,1702254278
202,namibe,-15.1961,12.1522,295.3,78,68,3.21,AO,1702254280
203,boa vista,2.8197,-60.6733,303.14,58,40,3.6,BR,1702254281
204,mount vernon,40.9126,-73.8371,290.08,92,100,7.72,US,1702254282
205,taro,-8.3862,115.28,298.15,82,98,1.5,ID,1702254284
206,usogorsk,63.4106,48.6872,252.41,93,100,4.12,RU,1702254285
207,fonte boa,-2.4959,-66.2662,299.93,78,100,0.42,BR,1702254286
208,hithadhoo,-0.6,73.0833,300.92,76,92,2.42,MV,1702254287
209,nadym,65.5333,72.5167,241.71,94,80,3.89,RU,1702254289
210,lata,40.1629,-8.3327,288.75,92,47,1.86,PT,1702254290
211,taksimo,56.3444,114.8794,239.99,91,45,0.6,RU,1702254291
212,flin flon,54.7682,-101.865,264.06,92,100,4.63,CA,1702254292
213,rio grande,-32.035,-52.0986,293.21,87,91,7.8,BR,1702254209
214,tvoroyri,61.5556,-6.8111,281.18,82,100,7.97,FO,1702254296
215,puerto aysen,-45.4,-72.7,285.18,99,100,2.1,CL,1702254298
216,asosa,10.0667,34.5333,291.3,34,21,2.28,ET,1702254299
217,bam,29.106,58.357,285.55,23,13,0.89,IR,1702254300
218,zavodskoy,43.4597,132.2922,258.92,39,35,5.0,RU,1702254302
219,kavieng,-2.5744,150.7967,301.99,75,82,4.16,PG,1702254303
220,luanda,-8.8368,13.2343,297.15,82,100,1.54,AO,1702254305
221,mpanda,-6.3655,31.0409,292.7,97,100,0.73,TZ,1702254306
222,bernal,-5.45,-80.75,298.44,59,0,8.4,PE,1702254308
223,orange,33.7,-117.7675,298.31,27,40,3.09,US,1702254309
224,artova,40.1158,36.3001,277.7,82,95,2.96,TR,1702254311
225,palmer,42.1584,-72.3287,288.9,83,100,1.34,US,1702254205
226,kasongo,-4.45,26.6667,293.88,98,100,0.5,CD,1702254314
227,colonia,50.9333,6.95,284.85,78,75,5.14,DE,1702254267
228,port macquarie,-31.4333,152.9167,301.98,56,1,6.2,AU,1702254316
229,calca,-13.3333,-71.95,286.79,79,96,2.47,PE,1702254318
230,lebu,-37.6167,-73.65,286.09,89,92,8.85,CL,1702254319
231,rio verde,21.9333,-99.9833,285.23,45,80,4.58,MX,1702254321
232,georgetown,5.4112,100.3354,300.11,94,20,1.03,MY,1702254137
233,caninde de sao francisco,-9.66,-37.7894,299.28,59,13,4.93,BR,1702254324
234,fortuna,40.5982,-124.1573,287.58,78,100,0.0,US,1702254325
235,antsiranana,-12.2787,49.2917,298.69,85,75,5.62,MG,1702254327
236,tuy hoa,13.0833,109.3,296.04,88,59,1.91,VN,1702254329
237,san patricio,28.017,-97.5169,288.07,25,0,2.59,US,1702254330
238,dalhart,36.0595,-102.5133,278.36,48,0,3.09,US,1702254331
239,taoudenni,22.6783,-3.9836,291.32,24,100,7.78,ML,1702254333
240,kokopo,-4.352,152.2633,298.85,85,100,1.64,PG,1702254334
241,port saint john's,-31.6229,29.5448,291.19,86,100,1.34,ZA,1702254336
242,tual,-5.6667,132.75,302.02,77,90,6.43,ID,1702254337
243,ghat,24.9647,10.1728,286.73,62,89,3.74,LY,1702254338
244,meizhou,24.2977,116.1072,295.2,88,19,0.36,CN,1702254340
245,port elizabeth,-33.918,25.5701,287.65,92,0,1.54,ZA,1702254341
246,olinda,-8.0089,-34.8553,301.0,74,40,2.57,BR,1702254116
247,esquel,-42.9,-71.3167,289.66,67,82,2.81,AR,1702254343
248,el rama,12.1596,-84.2195,297.41,98,58,1.9,NI,1702254345
249,i-n-salah,27.1935,2.4607,287.16,54,7,5.38,DZ,1702254346
250,laguna,38.421,-121.4238,287.64,58,0,1.54,US,1702254347
251,magherafelt,54.7536,-6.6066,280.7,94,93,2.37,GB,1702254348
252,serdar,38.9764,56.2757,285.38,52,73,2.0,TM,1702254350
253,cadale,2.7603,46.3222,300.08,79,26,5.49,SO,1702254351
254,khandyga,62.6667,135.6,239.69,98,100,0.87,RU,1702254352
255,yebaishou,41.3975,119.6408,262.69,55,100,4.15,CN,1702254354
256,lillehammer,61.1146,10.4674,266.73,97,100,1.05,NO,1702254355
257,nuuk,64.1835,-51.7216,271.49,74,100,6.69,GL,1702254120
